Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
data.gov,1.0,3,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",8951615,39123138,911,673590,268716,"[21981, 26682, 56510, 61174, 56175, 23468, 3502]","[2817, 278, 477, 740, 590, 160, 0]","[2675, 150, 78, 107, 90, 32, 8]","[49, 262, 621, 377, 152, 16, 0]",29,98,34,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],8951615,39123138,911,673590,54809,[27626],[9592],[4798],,19,19,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5216560,38431227,1972,18201,48530,"[15750, 2695, 1967, 169, 78, 5]","[5505, 126, 648, 43, 15, 3]","[3665, 314, 321, 84, 31, 0]","[94, 132, 46, 22, 9, 0]",57,117,85,True,True
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5216560,38431227,1972,18201,154134,"[16452, 13272, 28989, 30442, 31413, 11831, 1250]","[3157, 395, 677, 927, 765, 183, 0]","[3054, 166, 72, 93, 78, 23, 9]","[59, 226, 644, 266, 99, 16, 0]",41,153,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],5216560,38431227,1972,18201,42444,[16626],[8807],[4515],,28,28,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5608144,20875257,1266,570205,55387,"[18494, 4007, 1912, 216, 99, 6]","[6378, 149, 649, 43, 12, 1]","[4485, 281, 432, 97, 38, 6]","[90, 130, 73, 24, 8, 1]",56,116,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",5608144,20875257,1266,570205,210349,"[16951, 21134, 48201, 46894, 38496, 17056, 2190]","[2908, 373, 605, 870, 691, 184, 2]","[2553, 160, 80, 126, 84, 27, 4]","[58, 250, 461, 381, 136, 15, 0]",39,141,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],5608144,20875257,1266,570205,47701,[22736],[7763],[4730],,27,27,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13513214,24137340,720,836668,48248,"[14262, 3220, 1909, 167, 84, 2]","[5495, 128, 603, 43, 9, 0]","[3431, 315, 317, 92, 30, 10]","[100, 133, 38, 22, 8, 0]",44,96,85,True,True
data.gov,1.0,10,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",13513214,24137340,720,836668,226583,"[18726, 16324, 49717, 53226, 45984, 20409, 2683]","[2719, 246, 377, 525, 493, 132, 1]","[2999, 217, 79, 86, 71, 23, 5]","[59, 230, 686, 281, 106, 15, 0]",23,70,34,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],13513214,24137340,720,836668,55350,[30774],[7537],[4650],,15,15,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9791283,10708968,197,650075,48454,"[15255, 2948, 1930, 190, 90, 6]","[5595, 143, 649, 40, 11, 1]","[3433, 328, 322, 102, 35, 7]","[100, 133, 162, 33, 5, 0]",47,101,85,True,True
data.gov,1.0,11,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",9791283,10708968,197,650075,195347,"[12921, 13512, 39385, 44789, 40260, 20053, 1746]","[2869, 281, 449, 604, 544, 143, 2]","[2468, 170, 83, 83, 72, 22, 5]","[63, 220, 573, 302, 130, 14, 0]",28,91,34,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],9791283,10708968,197,650075,40535,[16031],[6977],[4865],,18,18,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7050869,31122658,955,245603,48519,"[15337, 2491, 1983, 188, 84, 5]","[5583, 144, 630, 39, 11, 1]","[3456, 284, 342, 97, 36, 7]","[108, 146, 172, 30, 5, 0]",52,109,85,True,True
data.gov,1.0,11,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",7050869,31122658,955,245603,176885,"[17159, 12001, 33659, 39570, 36470, 16795, 1522]","[3095, 332, 576, 767, 674, 179, 1]","[2552, 216, 80, 91, 64, 22, 4]","[68, 226, 483, 276, 103, 12, 0]",34,120,34,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],7050869,31122658,955,245603,41655,[16823],[7417],[4422],,22,22,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6289644,950885,558,854288,49535,"[15308, 2724, 2010, 174, 84, 4]","[5571, 133, 955, 39, 10, 1]","[3468, 334, 328, 91, 31, 7]","[94, 132, 41, 22, 5, 1]",53,114,85,True,True
data.gov,1.0,10,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",6289644,950885,558,854288,165233,"[13367, 13359, 30558, 36664, 36305, 12992, 1436]","[3105, 319, 558, 732, 638, 164, 2]","[2910, 154, 79, 79, 66, 22, 20]","[65, 220, 462, 395, 107, 13, 0]",36,132,34,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],6289644,950885,558,854288,42702,[15971],[8423],[4970],,25,45,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6269905,12100280,1441,146757,77554,"[32235, 12940, 2538, 286, 147, 0]","[5222, 178, 661, 41, 17, 0]","[3471, 292, 683, 93, 37, 8]","[111, 110, 74, 44, 13, 1]",53,111,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6269905,12100280,1441,146757,131417,"[45329, 63053]","[4275, 375]","[3185, 190]",[47],36,65,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],6269905,12100280,1441,146757,87592,[60334],[8406],[5355],,25,25,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11711836,37314979,1897,255332,51533,"[16820, 4968, 1905, 166, 86, 7]","[5558, 125, 596, 36, 10, 1]","[3472, 294, 357, 92, 31, 2]","[104, 142, 55, 29, 9, 0]",44,96,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11711836,37314979,1897,255332,58835,"[22305, 21076]","[2916, 258]","[2690, 193]",[60],26,45,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],11711836,37314979,1897,255332,48358,[24899],[6649],[4760],,17,17,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1407770,15876731,374,538817,49677,"[16044, 3411, 1995, 162, 81, 1]","[5373, 139, 572, 37, 9, 0]","[3518, 297, 347, 88, 31, 9]","[89, 136, 61, 27, 0, 0]",118,214,85,True,True
data.gov,1.0,5,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1407770,15876731,374,538817,47857,"[13709, 17488]","[3436, 781]","[2450, 152]",[60],113,219,25,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],1407770,15876731,374,538817,46102,[19377],[10300],[4380],,88,88,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6302438,35125916,1371,27389,53391,"[18521, 5062, 1895, 169, 91, 0]","[5435, 155, 610, 38, 10, 0]","[3370, 296, 396, 100, 32, 10]","[86, 120, 202, 29, 8, 0]",53,111,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6302438,35125916,1371,27389,61476,"[20166, 24983]","[3520, 350]","[2673, 180]",[55],35,63,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],6302438,35125916,1371,27389,50584,[26916],[7588],[4231],,25,25,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",10065251,5624074,836,198102,47677,"[15214, 3260, 1940, 187, 80, 0]","[5344, 125, 580, 37, 10, 0]","[3332, 297, 330, 83, 35, 10]","[100, 128, 46, 20, 5, 0]",47,101,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",10065251,5624074,836,198102,44096,"[14263, 14771]","[2748, 259]","[2429, 160]",[70],27,47,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],10065251,5624074,836,198102,42780,[19131],[6619],[4761],,18,18,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12016150,27695981,1937,876389,55083,"[17970, 5755, 2035, 181, 94, 4]","[5780, 132, 576, 38, 10, 0]","[3431, 304, 444, 87, 31, 6]","[93, 130, 202, 23, 6, 0]",44,96,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12016150,27695981,1937,876389,58117,"[22590, 20289]","[2606, 234]","[2881, 148]",[63],24,41,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],12016150,27695981,1937,876389,46936,[24136],[6263],[4618],,16,16,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13421735,6801518,172,878143,81425,"[30715, 13747, 2899, 366, 212, 5]","[5205, 201, 714, 61, 21, 1]","[4154, 4570, 623, 121, 48, 6]","[143, 195, 83, 36, 8, 1]",44,96,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13421735,6801518,172,878143,136605,"[49873, 62671]","[3749, 230]","[3574, 161]",[58],23,39,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],13421735,6801518,172,878143,84500,[58585],[7221],[5265],,16,16,8,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1497744,21331280,843,691877,45966,"[14668, 2184, 1895, 185, 85, 4]","[5320, 135, 613, 47, 10, 1]","[3368, 279, 403, 89, 30, 5]","[94, 127, 185, 25, 5, 0]",113,206,85,True,True
data.gov,1.0,12,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1497744,21331280,843,691877,38272,"[10242, 11055]","[3808, 785]","[2476, 229]",[63],108,209,25,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],1497744,21331280,843,691877,41788,[13480],[11750],[4409],,84,84,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4749847,741348,1374,750145,46710,"[14529, 2394, 1825, 168, 77, 4]","[5503, 132, 936, 38, 11, 1]","[3355, 278, 308, 87, 30, 5]","[91, 121, 174, 25, 5, 1]",59,124,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4749847,741348,1374,750145,39014,"[11112, 11881]","[3017, 396]","[2685, 179]",[66],42,78,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],4749847,741348,1374,750145,40325,[15272],[8545],[4375],,30,58,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14833195,31573280,1497,103227,49186,"[15900, 4653, 1839, 165, 77, 4]","[5167, 139, 594, 39, 11, 0]","[3338, 282, 363, 84, 28, 5]","[96, 131, 40, 36, 6, 1]",43,95,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14833195,31573280,1497,103227,55550,"[19142, 21151]","[2522, 201]","[3045, 237]",[56],22,37,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],14833195,31573280,1497,103227,44261,[22353],[5716],[4070],,14,14,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6732206,11518136,1817,130029,50168,"[16787, 4322, 1891, 172, 86, 5]","[5259, 134, 571, 39, 9, 1]","[3358, 292, 346, 91, 31, 5]","[96, 135, 213, 26, 5, 0]",52,109,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6732206,11518136,1817,130029,52258,"[16784, 20190]","[2926, 350]","[2949, 158]",[58],34,61,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],6732206,11518136,1817,130029,45495,[22057],[7148],[4317],,24,24,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",315020,10629211,1358,491574,49982,"[15331, 5039, 1844, 173, 78, 4]","[5390, 146, 545, 38, 10, 1]","[3347, 295, 416, 82, 33, 7]","[89, 129, 191, 26, 5, 0]",413,678,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",315020,10629211,1358,491574,64325,"[19123, 25435]","[4673, 1980]","[2802, 179]",[55],471,933,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],315020,10629211,1358,491574,61257,[24114],[19026],[4442],,374,374,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",824104,23576328,1149,699759,53155,"[18666, 4940, 1865, 181, 90, 4]","[5377, 151, 672, 50, 9, 1]","[3380, 269, 434, 115, 28, 20]","[91, 99, 195, 30, 6, 0]",178,308,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",824104,23576328,1149,699759,60612,"[18750, 24505]","[3448, 1124]","[2577, 149]",[58],187,367,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],824104,23576328,1149,699759,52297,[24964],[10786],[4637],,147,147,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1557458,16573029,829,49954,46857,"[14990, 2569, 1840, 172, 78, 4]","[5408, 136, 570, 38, 11, 1]","[3342, 262, 316, 79, 28, 5]","[93, 121, 177, 22, 5, 0]",110,201,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1557458,16573029,829,49954,38718,"[10588, 12171]","[3379, 820]","[2241, 147]",[63],104,201,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],1557458,16573029,829,49954,41449,[14801],[10414],[3937],,80,80,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8050049,37784344,1328,586555,49904,"[16969, 3774, 1814, 196, 83, 4]","[5364, 126, 593, 47, 12, 1]","[3377, 294, 318, 91, 37, 5]","[106, 130, 196, 23, 5, 0]",49,104,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8050049,37784344,1328,586555,44370,"[13438, 15496]","[2915, 271]","[2586, 161]",[58],30,53,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],8050049,37784344,1328,586555,40702,[17217],[6706],[4411],,20,20,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13553444,32297578,277,397677,55517,"[19539, 5435, 1814, 173, 92, 4]","[5432, 149, 595, 39, 11, 1]","[3465, 301, 408, 85, 32, 6]","[92, 125, 168, 25, 6, 0]",44,96,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13553444,32297578,277,397677,62510,"[21735, 25458]","[2662, 205]","[2745, 162]",[61],23,39,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],13553444,32297578,277,397677,49209,[26555],[5825],[4441],,15,15,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2501179,30034976,1855,725998,49325,"[16065, 3303, 1883, 160, 78, 4]","[5550, 124, 575, 38, 9, 0]","[3499, 309, 380, 81, 30, 4]","[103, 141, 46, 21, 5, 0]",83,158,85,True,True
data.gov,1.0,5,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2501179,30034976,1855,725998,47375,"[14042, 17562]","[3194, 566]","[2423, 155]",[55],70,133,25,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],2501179,30034976,1855,725998,43989,[18539],[9150],[4427],,52,52,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13252509,13962445,1248,269929,47084,"[14474, 3102, 1841, 171, 85, 4]","[5600, 151, 578, 38, 11, 1]","[3343, 266, 305, 92, 34, 5]","[95, 139, 178, 21, 8, 0]",44,96,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13252509,13962445,1248,269929,47002,"[16746, 15558]","[2671, 216]","[2436, 169]",[62],23,39,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],13252509,13962445,1248,269929,47760,[24319],[6975],[4169],,16,16,8,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13440896,26541025,857,621696,46566,"[14059, 3440, 1809, 179, 90, 4]","[5265, 134, 588, 39, 11, 1]","[3346, 283, 302, 85, 32, 5]","[91, 120, 165, 24, 6, 0]",44,96,85,True,True
data.gov,1.0,12,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13440896,26541025,857,621696,51328,"[20547, 15321]","[2522, 209]","[2763, 245]",[68],23,39,25,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],13440896,26541025,857,621696,53742,[30451],[6818],[4379],,16,16,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1743321,23139801,1899,408137,48063,"[15597, 2908, 1917, 163, 77, 5]","[5332, 144, 554, 40, 10, 1]","[3363, 269, 325, 82, 27, 5]","[103, 144, 50, 25, 5, 0]",100,185,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1743321,23139801,1899,408137,43240,"[12125, 15376]","[3199, 691]","[2384, 142]",[58],94,181,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],1743321,23139801,1899,408137,42789,[16865],[9585],[4224],,73,73,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3574479,124784,1807,617145,49237,"[16110, 2679, 1731, 170, 81, 4]","[5732, 185, 1060, 38, 10, 1]","[3420, 307, 343, 86, 29, 5]","[93, 157, 41, 24, 5, 0]",66,171,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3574479,124784,1807,617145,42374,"[11988, 14300]","[3654, 727]","[2383, 153]",[61],53,224,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],3574479,124784,1807,617145,45199,[16124],[12410],[4440],,38,269,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4916507,14297218,1055,908535,47914,"[14740, 2904, 1817, 181, 92, 5]","[5585, 133, 583, 38, 9, 1]","[3331, 277, 324, 87, 33, 5]","[94, 132, 194, 23, 6, 1]",58,119,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4916507,14297218,1055,908535,38503,"[10977, 11198]","[3044, 410]","[2557, 183]",[55],41,75,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],4916507,14297218,1055,908535,40326,[14914],[8637],[4536],,29,29,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9359818,27638968,34,997323,46669,"[14393, 2479, 1854, 180, 83, 5]","[5638, 121, 540, 37, 10, 1]","[3401, 275, 327, 90, 35, 5]","[97, 123, 166, 25, 6, 0]",47,101,93,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9359818,27638968,34,997323,50102,"[20227, 12493]","[4581, 365]","[2691, 149]",[56],29,51,39,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],9359818,27638968,34,997323,47756,[20472],[10100],[4508],,19,19,14,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2605799,27875758,276,66001,47118,"[14409, 2297, 1870, 170, 77, 4]","[5414, 132, 568, 41, 10, 1]","[3353, 287, 307, 87, 29, 5]","[92, 125, 47, 27, 4, 0]",80,153,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2605799,27875758,276,66001,37628,"[10418, 11277]","[3188, 599]","[2431, 184]",[67],67,127,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],2605799,27875758,276,66001,40244,[14531],[9755],[3847],,50,50,10,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11338059,28463875,1508,124272,46863,"[14020, 2886, 1847, 173, 77, 5]","[5461, 124, 546, 37, 11, 1]","[3493, 275, 326, 83, 32, 5]","[95, 126, 165, 35, 7, 1]",44,96,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11338059,28463875,1508,124272,47589,"[18439, 13700]","[2796, 239]","[2847, 175]",[68],26,45,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],11338059,28463875,1508,124272,45912,[22041],[7483],[4061],,17,17,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",322705,9855981,54,860028,76161,"[31586, 12214, 2317, 282, 132, 4]","[5284, 190, 677, 54, 12, 1]","[3517, 333, 515, 79, 29, 7]","[93, 87, 69, 36, 7, 1]",405,666,98,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",322705,9855981,54,860028,137762,"[44247, 63986]","[8347, 2233]","[3533, 168]",[60],459,909,43,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],322705,9855981,54,860028,91123,[56629],[14565],[5809],,366,366,14,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8093995,4975691,1107,279184,45936,"[14817, 2543, 1822, 183, 78, 4]","[5334, 142, 570, 40, 10, 1]","[3327, 327, 322, 92, 28, 5]","[100, 121, 39, 26, 5, 0]",49,104,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8093995,4975691,1107,279184,39584,"[11908, 12051]","[2830, 300]","[2591, 208]",[68],30,53,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],8093995,4975691,1107,279184,40865,[16337],[7525],[4412],,20,20,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8796745,755705,1939,800633,48345,"[15239, 3705, 1823, 166, 85, 4]","[5426, 129, 935, 40, 9, 1]","[3412, 308, 356, 90, 29, 5]","[94, 138, 42, 24, 6, 0]",48,107,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8796745,755705,1939,800633,46144,"[15218, 14893]","[2994, 267]","[2616, 151]",[66],29,57,25,True,True
